Nombre,Genero,Medallas
Fidel Santander,Masculino,0
Filiberto Fernndez Daz,Masculino,0
Filiberto Manzo Hernndez,Masculino,0
Filiberto Mercado,Masculino,0
Flipe Enrquez Rojas,Masculino,0
Flix Altamirano Medina,Masculino,0
Flix Bcquer Lastra,Masculino,0
Florentino Martnez Lpez,Masculino,0
Francisco Alberto Martnez Ruiz,Masculino,0
Francisco Barba Ordaz,Masculino,0
Francisco Bautista Cuamatzi,Masculino,0
Francisco Bojado Arvalos,Masculino,0
Francisco Bustamente Cruz,Masculino,0
Francisco C. Valero Recio,Masculino,0
Francisco Cabaas Pardo,Masculino,1
Francisco Coronel Romero,Masculino,0
Francisco Costas,Masculino,0
Francisco Domingo Dvila Robledo,Masculino,0
Francisco Eduardo Prieto Lpez,Masculino,0
Francisco Galindo Chvez,Masculino,0
Francisco Garca Moreno,Masculino,0
Francisco Gonzlez Suaste,Masculino,0
Francisco Javier Camacho Gmez,Masculino,0
Francisco Javier Huerta Franco,Masculino,0
Francisco Javier Regalado Menchaca,Masculino,0
Francisco Javier Rodrguez Pinedo,Masculino,0
Francisco Javier Rueda Amezquita,Masculino,0
Francisco Javier Sardo Olmedo,Masculino,0
Francisco Javier Vargas Pelez,Masculino,0
Francisco Jos lvarez,Masculino,0
Francisco Lozano Borgoni,Masculino,0
Francisco M. Ramrez Morales,Masculino,0
Francisco Maciel Garca,Masculino,0
Francisco Martnez Cordero,Masculino,1
Francisco Negrete,Masculino,0
Francisco Quintero Nava,Masculino,0
Francisco Rodrguez Ledesma,Masculino,0
Francisco Rotlln Zavala,Masculino,0
Francisco Serrano Plowells,Masculino,0
Francisco Vzquez de la Torres,Masculino,0
Ftima Leyva Morn,Femenino,0
G. Daz,Masculino,0
GABRIEL BUENAVENTURA Eliezer,Male,0
GARCIA LOPEZ Juan Diego,Male,1
GONZALEZ SAUCEDA Jorge Benjamin,Male,0
GUERRERO CAZARES Rosa Maria,Female,1
GUTIERREZ BERMUDEZ Juan Jose,Male,0
GUTIERREZ BERMUDEZ Raul,Male,0
Gabino Rodrguez Rodela,Masculino,0
Gabriel Altamirano Tames,Masculino,0
Gabriel Cullar,Masculino,0
Gabriel Goldschmied Rodrguez,Masculino,0
Gabriel Hernndez Garca,Masculino,0
Gabriel J. Gracida Jaramillo,Masculino,0
Gabriel Jess Ruz Daz,Masculino,0
Gabriel Mrquez Trejo,Masculino,0
Gabriel Nava,Masculino,0
Gabriela Elizabeth Medina Solrzano,Femenino,0
Gabriela Gaja Cover,Femenino,0
Gabriela Huerta Trillo,Femenino,0
Galdino Flores Valles,Masculino,0
Gayle Bluth McDonald,Masculino,0
Genaro Len Quintero,Masculino,0
Genaro Rojas Trejo,Masculino,0
Geovanni Alessandro Lanaro Mercado,Masculino,0
Gerardo Eugenio Martnez Iben,Masculino,0
Gerardo Miguel Gmez Counahan,Masculino,0
Gerardo Padilla Vallejo,Masculino,0
Gerardo Tazzer Valencia,Masculino,1
German Snchez,Masculino,0
Germn Chvez Martnez,Masculino,0
Germn Fortino Snchez Cruz,Masculino,0
Germn Sal Snchez Snchez,Masculino,2
Germn Silva Martnez,Masculino,0
Germn Villa Castaeda,Masculino,0
Gernimo Enrique Delgadillo,Masculino,0
Gilberto Martnez Fuentes,Masculino,0
Gilberto Romn,Masculino,0
Gilberto Soriano Ramrez,Masculino,0
Gilberto Sosa,Masculino,0
Gilberto Toledano Silva,Masculino,0
Gilda Aranda Rojas,Femenino,0
Giovani dos Santos Ramrez,Masculino,1
Gloria Casales Ortz,Femenino,0
Gloria Inzua,Femenino,0
Gonzalo Pineda Reyes,Masculino,0
Gonzalo Ruz de la Cruz,Masculino,0
Goretti Alejandra Zumaya Flores,Femenino,0
Gregorio Blasco Gonzlez,Masculino,0
Grisel Mendoza Mercado,Femenino,0
Guadaloupe Mara Loma,Femenino,0
Guadalupe Canseco,Femenino,0
"Guadelupe ""Lupita"" Novelo Osuna",Femenino,0
Guillermo A. Rodrguez Silva,Masculino,0
Guillermo Alejandro Hernndez Snchez,Masculino,0
Guillermo Castellanos,Masculino,0
Guillermo Cosio Snchez,Masculino,0
Guillermo Daz Gutirrez,Masculino,0
Guillermo Echevarra Prez,Masculino,0
Guillermo Garca Castillo,Masculino,0
Guillermo Garca Ceballos,Masculino,0
Guillermo Gustavo Balboa Valtierra,Masculino,0
Guillermo Gutirrez,Masculino,0
Guillermo Huet Bobadilla,Masculino,0
Guillermo J. Amparan,Masculino,0
Guillermo Mendoza,Masculino,0
Guillermo Muoz Ronquillo,Masculino,0
Guillermo Prez Sandoval,Masculino,1
Guillermo Spamer M.,Masculino,0
Guillermo Tamez Valdez,Masculino,0
Guillermo Tapia Preciado,Masculino,0
Guillermo Torres,Masculino,0
Guillermo Torres Cervantes,Masculino,0
Guillermo Wagner,Masculino,0
Guillermo Zavala Hidalgo,Masculino,0
