Equipo,Juegos,Año,Medalla_Oro
Barbados,1992 Verano,1992-01-01,0
Barbados,1996 Verano,1996-01-01,0
Barbados,2000 Verano,2000-01-01,0
Barbados,2004 Verano,2004-01-01,0
Barbados,2008 Verano,2008-01-01,0
Barbados,2012 Verano,2012-01-01,0
Barbados,2016 Verano,2016-01-01,0
Barbados,2020 Verano,2020-01-01,0
Barco Deloro,1964 Verano,1964-01-01,0
Barion/Bari-2,1906 Verano,1906-01-01,0
Barrenjoey,1964 Verano,1964-01-01,3
Beatrijs III-1,1920 Verano,1920-01-01,3
Beaver,1956 Verano,1956-01-01,0
Beaver,1960 Verano,1960-01-01,0
Belarus,1994 Invierno,1994-01-01,0
Belarus,1996 Verano,1996-01-01,1
Belarus,1998 Invierno,1998-01-01,0
Belarus,2000 Verano,2000-01-01,3
Belarus,2002 Invierno,2002-01-01,0
Belarus,2004 Verano,2004-01-01,2
Belarus,2006 Invierno,2006-01-01,0
Belarus,2008 Verano,2008-01-01,8
Belarus,2010 Invierno,2010-01-01,1
Belarus,2012 Verano,2012-01-01,3
Belarus,2014 Invierno,2014-01-01,5
Belarus,2016 Verano,2016-01-01,1
Belarus,2020 Verano,2020-01-01,1
Belarus-1,2008 Verano,2008-01-01,0
Belarus-2,2008 Verano,2008-01-01,0
Belgium,1900 Verano,1900-01-01,5
Belgium,1906 Verano,1906-01-01,2
Belgium,1908 Verano,1908-01-01,1
Belgium,1912 Verano,1912-01-01,7
Belgium,1920 Verano,1920-01-01,54
Belgium,1924 Invierno,1924-01-01,0
Belgium,1924 Verano,1924-01-01,3
Belgium,1928 Invierno,1928-01-01,0
Belgium,1928 Verano,1928-01-01,0
Belgium,1932 Invierno,1932-01-01,0
Belgium,1932 Verano,1932-01-01,0
Belgium,1936 Invierno,1936-01-01,0
Belgium,1936 Verano,1936-01-01,0
Belgium,1948 Invierno,1948-01-01,2
Belgium,1948 Verano,1948-01-01,5
Belgium,1952 Invierno,1952-01-01,0
Belgium,1952 Verano,1952-01-01,5
Belgium,1956 Invierno,1956-01-01,0
Belgium,1956 Verano,1956-01-01,0
Belgium,1960 Verano,1960-01-01,0
Belgium,1964 Invierno,1964-01-01,0
Belgium,1964 Verano,1964-01-01,2
Belgium,1968 Verano,1968-01-01,0
Belgium,1972 Invierno,1972-01-01,0
Belgium,1972 Verano,1972-01-01,0
Belgium,1976 Invierno,1976-01-01,0
Belgium,1976 Verano,1976-01-01,0
Belgium,1980 Invierno,1980-01-01,0
Belgium,1980 Verano,1980-01-01,1
Belgium,1984 Invierno,1984-01-01,0
Belgium,1984 Verano,1984-01-01,1
Belgium,1988 Invierno,1988-01-01,0
Belgium,1988 Verano,1988-01-01,0
Belgium,1992 Invierno,1992-01-01,0
Belgium,1992 Verano,1992-01-01,0
Belgium,1994 Invierno,1994-01-01,0
Belgium,1996 Verano,1996-01-01,2
Belgium,1998 Invierno,1998-01-01,0
Belgium,2000 Verano,2000-01-01,0
Belgium,2002 Invierno,2002-01-01,0
Belgium,2004 Verano,2004-01-01,1
Belgium,2006 Invierno,2006-01-01,0
Belgium,2008 Verano,2008-01-01,1
Belgium,2010 Invierno,2010-01-01,0
Belgium,2012 Verano,2012-01-01,0
Belgium,2014 Invierno,2014-01-01,0
Belgium,2016 Verano,2016-01-01,2
Belgium,2020 Verano,2020-01-01,3
Belgium-1,1900 Verano,1900-01-01,1
